taxonID	property	value	remarks
3011	CITES	Appendix II	Appendix II:Excludes fossils.
3012	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3015	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3016	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3018	CITES	Appendix II	Appendix II:Excludes fossils.
3019	CITES	Appendix II	
3020	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
3021	CITES	Appendix II	Appendix II:Excludes fossils.
3022	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3023	CITES	Appendix II	Appendix II:Excludes fossils.
3024	CITES	Appendix II	
3028	CITES	Appendix II	Appendix II:Excludes fossils.
3029	CITES	Appendix II	Appendix II:Included in Arctocephalus spp.
3030	CITES	Appendix II	Appendix II:Excludes fossils.
3031	CITES	Appendix II	
3034	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3035	CITES	Appendix II	Appendix II:Excludes fossils.
3036	CITES	Appendix II	Appendix II:Population of MX only (Populations of CA & US removed).
3037	CITES	Appendix II	Appendix II:Excludes fossils.
3038	CITES	Appendix II	Appendix II:Excludes fossils.
3039	CITES	Appendix II	Appendix II:Excludes fossils.
3041	CITES	Appendix II	
3042	CITES	Appendix II	Appendix II:Excludes fossils.
3044	CITES	Appendix II	
3046	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3047	CITES	Appendix II	Appendix II:Excludes fossils.
3050	CITES	Appendix II	Appendix II:Excludes Caracara lutosa and Cathartidae spp.
3053	CITES	Appendix II	
3055	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3056	CITES	Appendix II	Appendix II:Excludes fossils.
3058	CITES	Appendix II	
3059	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3060	CITES	Appendix II	
3063	CITES	Appendix II	Appendix II:Excludes fossils.
3067	CITES	Appendix II	
3068	CITES	Appendix II	Appendix II:Excludes fossils.
3069	CITES	Appendix II	
3070	CITES	Appendix II	Appendix II:Excludes fossils.
3071	CITES	Appendix II	
3073	CITES	Appendix II	Appendix II:Excludes fossils.
3077	CITES	Appendix II	Appendix II:Included in SCLERACTINIA spp.
3078	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3079	CITES	Appendix II	Appendix II:Included in Pythonidae spp.
3081	CITES	Appendix II	Appendix II:Formerly included in Chamaeleo spp.
3083	CITES	Appendix II	Appendix II:Includes generic synonym Ptilolaemus.
3085	CITES	Appendix II	Appendix II:Excludes Agapornis roseicollis, Melopsittacus undulatus, Nymphicus hollandicus, Psittacula krameri.
